α,BaseStock,AvgTotalCost,AvgTotalInvLvl,AvgTotalStockout,AvgTotalDemand,β,AvgInvCost,AvgBkCost,AvgLSCost,AvgProdCost,AvgPowderCost,AvgInvLvl,AvgBkLvl,AvgLsLvl,TotalCount
0.05,"(3, 6, 4, 0)",89.63,52.49,0.81,12.0,0.93,"(13.61, 17.58, 14.59, 6.71)","(0.53, 0.16, 0.4, 1.72)","(0.0, 0.0, 0.0, 0.0)",7.61,26.72,"(13.61, 17.58, 14.59, 6.71)","(0.11, 0.02, 0.03, 0.09)","(0.0, 0.0, 0.0, 0.0)",833143
0.1,"(4, 6, 5, 1)",86.54,55.84,0.72,12.0,0.94,"(14.8, 17.52, 15.52, 7.99)","(0.42, 0.16, 0.17, 2.13)","(0.0, 0.0, 0.0, 0.0)",5.93,21.89,"(14.8, 17.52, 15.52, 7.99)","(0.08, 0.02, 0.01, 0.11)","(0.0, 0.0, 0.0, 0.0)",433185
0.2,"(5, 7, 6, 1)",85.46,57.75,0.67,12.0,0.94,"(15.55, 17.9, 16.47, 7.82)","(0.39, 0.21, 0.1, 2.27)","(0.0, 0.0, 0.0, 0.0)",5.34,19.4,"(15.55, 17.9, 16.47, 7.82)","(0.08, 0.02, 0.01, 0.11)","(0.0, 0.0, 0.0, 0.0)",390406
0.3,"(5, 8, 6, 2)",83.47,58.85,0.68,12.0,0.94,"(14.88, 18.8, 16.25, 8.92)","(0.52, 0.25, 0.13, 1.68)","(0.0, 0.0, 0.0, 0.0)",4.81,17.24,"(14.88, 18.8, 16.25, 8.92)","(0.1, 0.02, 0.01, 0.08)","(0.0, 0.0, 0.0, 0.0)",126197
0.4,"(6, 8, 7, 2)",82.13,60.83,0.67,12.0,0.94,"(16.29, 18.22, 17.64, 8.68)","(0.41, 0.36, 0.1, 1.79)","(0.0, 0.0, 0.0, 0.0)",4.13,14.51,"(16.29, 18.22, 17.64, 8.68)","(0.08, 0.04, 0.01, 0.09)","(0.0, 0.0, 0.0, 0.0)",109498
0.5,"(6, 8, 7, 2)",82.14,60.83,0.66,12.0,0.94,"(16.29, 18.22, 17.64, 8.68)","(0.41, 0.36, 0.1, 1.79)","(0.0, 0.0, 0.0, 0.0)",4.13,14.52,"(16.29, 18.22, 17.64, 8.68)","(0.08, 0.04, 0.01, 0.09)","(0.0, 0.0, 0.0, 0.0)",109468
0.6,"(6, 9, 8, 3)",81.97,66.51,0.63,12.0,0.95,"(15.41, 20.44, 19.98, 10.68)","(0.63, 0.34, 0.11, 1.18)","(0.0, 0.0, 0.0, 0.0)",2.91,10.29,"(15.41, 20.44, 19.98, 10.68)","(0.13, 0.03, 0.01, 0.06)","(0.0, 0.0, 0.0, 0.0)",34077
0.7,"(7, 9, 8, 3)",82.49,69.79,0.51,12.0,0.96,"(18.85, 20.34, 19.94, 10.67)","(0.3, 0.37, 0.06, 1.21)","(0.0, 0.0, 0.0, 0.0)",2.49,8.27,"(18.85, 20.34, 19.94, 10.67)","(0.06, 0.04, 0.0, 0.06)","(0.0, 0.0, 0.0, 0.0)",32542
0.8,"(7, 10, 9, 4)",90.3,82.14,0.32,12.0,0.97,"(18.74, 24.68, 24.08, 14.65)","(0.35, 0.14, 0.03, 0.56)","(0.0, 0.0, 0.0, 0.0)",1.56,5.5,"(18.74, 24.68, 24.08, 14.65)","(0.07, 0.01, 0.0, 0.03)","(0.0, 0.0, 0.0, 0.0)",5945
0.9,"(8, 10, 9, 4)",92.13,86.74,0.24,12.0,0.98,"(23.39, 24.65, 24.07, 14.64)","(0.11, 0.15, 0.01, 0.57)","(0.0, 0.0, 0.0, 0.0)",1.08,3.46,"(23.39, 24.65, 24.07, 14.64)","(0.02, 0.02, 0.0, 0.03)","(0.0, 0.0, 0.0, 0.0)",5832
0.95,"(9, 11, 10, 5)",110.11,108.56,0.06,12.0,1.0,"(28.79, 30.31, 29.5, 19.96)","(0.02, 0.0, 0.0, 0.17)","(0.0, 0.0, 0.0, 0.0)",0.31,1.04,"(28.79, 30.31, 29.5, 19.96)","(0.0, 0.0, 0.0, 0.01)","(0.0, 0.0, 0.0, 0.0)",562
0.99,"(10, 12, 11, 6)",132.38,132.07,0.01,12.0,1.0,"(34.53, 36.31, 35.42, 25.81)","(0.0, 0.0, 0.0, 0.03)","(0.0, 0.0, 0.0, 0.0)",0.06,0.21,"(34.53, 36.31, 35.42, 25.81)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",14
0.999,"(11, 12, 12, 7)",150.02,149.99,0.0,12.0,1.0,"(40.47, 36.31, 41.42, 31.79)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0.01,0.02,"(40.47, 36.31, 41.42, 31.79)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0
