α,BaseStock,AvgTotalCost,AvgTotalInvLvl,AvgTotalStockout,AvgTotalDemand,β,AvgInvCost,AvgBkCost,AvgLSCost,AvgProdCost,AvgPowderCost,AvgInvLvl,AvgBkLvl,AvgLsLvl,TotalCount
0.05,"(2, 3, 3, 0)",100.76,18.46,2.32,8.0,0.71,"(3.52, 5.74, 6.61, 2.59)","(3.56, 1.23, 1.04, 5.25)","(2.21, 0.0, 0.0, 0.13)",68.87,0.0,"(3.52, 5.74, 6.61, 2.59)","(0.71, 0.12, 0.07, 0.26)","(0.04, 0.0, 0.0, 0.0)",648473
0.1,"(2, 4, 3, 0)",92.02,19.41,2.13,8.0,0.73,"(3.52, 6.69, 6.61, 2.59)","(3.56, 0.24, 1.04, 5.25)","(2.21, 0.0, 0.0, 0.13)",60.18,0.0,"(3.52, 6.69, 6.61, 2.59)","(0.71, 0.02, 0.07, 0.26)","(0.04, 0.0, 0.0, 0.0)",642609
0.2,"(3, 5, 4, 1)",66.9,23.66,1.57,8.0,0.8,"(4.65, 7.6, 7.57, 3.85)","(1.9, 0.0, 0.17, 3.63)","(0.42, 0.0, 0.0, 0.09)",37.02,0.0,"(4.65, 7.6, 7.57, 3.85)","(0.38, 0.0, 0.01, 0.18)","(0.01, 0.0, 0.0, 0.0)",208546
0.3,"(3, 5, 4, 1)",66.9,23.66,1.57,8.0,0.8,"(4.65, 7.6, 7.57, 3.85)","(1.9, 0.0, 0.17, 3.63)","(0.42, 0.0, 0.0, 0.09)",37.02,0.0,"(4.65, 7.6, 7.57, 3.85)","(0.38, 0.0, 0.01, 0.18)","(0.01, 0.0, 0.0, 0.0)",208546
0.4,"(4, 5, 4, 1)",60.59,25.32,1.31,8.0,0.84,"(6.32, 7.6, 7.57, 3.85)","(0.89, 0.0, 0.17, 3.63)","(0.0, 0.0, 0.0, 0.09)",30.48,0.0,"(6.32, 7.6, 7.57, 3.85)","(0.18, 0.0, 0.01, 0.18)","(0.0, 0.0, 0.0, 0.0)",196772
0.5,"(4, 6, 5, 1)",53.5,29.02,1.01,8.0,0.87,"(6.32, 9.9, 8.96, 3.85)","(0.89, 0.0, 0.0, 3.63)","(0.0, 0.0, 0.0, 0.09)",19.87,0.0,"(6.32, 9.9, 8.96, 3.85)","(0.18, 0.0, 0.0, 0.18)","(0.0, 0.0, 0.0, 0.0)",187296
0.6,"(4, 6, 5, 2)",50.41,30.69,0.91,8.0,0.89,"(6.32, 9.9, 8.96, 5.52)","(0.89, 0.0, 0.0, 1.56)","(0.0, 0.0, 0.0, 0.02)",17.25,0.0,"(6.32, 9.9, 8.96, 5.52)","(0.18, 0.0, 0.0, 0.08)","(0.0, 0.0, 0.0, 0.0)",74345
0.7,"(5, 6, 6, 2)",49.26,36.18,0.55,8.0,0.93,"(9.19, 9.9, 11.57, 5.52)","(0.3, 0.0, 0.0, 1.56)","(0.0, 0.0, 0.0, 0.02)",11.2,0.0,"(9.19, 9.9, 11.57, 5.52)","(0.06, 0.0, 0.0, 0.08)","(0.0, 0.0, 0.0, 0.0)",68059
0.8,"(5, 7, 6, 3)",47.75,41.86,0.34,8.0,0.96,"(9.19, 12.98, 11.57, 8.12)","(0.3, 0.0, 0.0, 0.42)","(0.0, 0.0, 0.0, 0.0)",5.16,0.0,"(9.19, 12.98, 11.57, 8.12)","(0.06, 0.0, 0.0, 0.02)","(0.0, 0.0, 0.0, 0.0)",12150
0.9,"(6, 7, 7, 3)",52.74,49.07,0.15,8.0,0.98,"(13.0, 12.98, 14.98, 8.12)","(0.04, 0.0, 0.0, 0.42)","(0.0, 0.0, 0.0, 0.0)",3.2,0.0,"(13.0, 12.98, 14.98, 8.12)","(0.01, 0.0, 0.0, 0.02)","(0.0, 0.0, 0.0, 0.0)",12150
0.95,"(6, 8, 7, 4)",56.93,56.25,0.06,8.0,0.99,"(13.0, 16.6, 14.98, 11.67)","(0.04, 0.0, 0.0, 0.07)","(0.0, 0.0, 0.0, 0.0)",0.57,0.0,"(13.0, 16.6, 14.98, 11.67)","(0.01, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",799
0.99,"(7, 8, 8, 5)",68.02,68.0,0.01,8.0,1.0,"(16.99, 16.6, 18.81, 15.6)","(0.0, 0.0, 0.0, 0.01)","(0.0, 0.0, 0.0, 0.0)",0.02,0.0,"(16.99, 16.6, 18.81, 15.6)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0
0.999,"(8, 8, 8, 6)",76.0,76.0,0.0,8.0,1.0,"(20.99, 16.6, 18.81, 19.59)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0.0,0.0,"(20.99, 16.6, 18.81, 19.59)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0
