α,BaseStock,AvgTotalCost,AvgInvLvl,AvgStockout,AvgDemand,β,TotalCount
0.05,"(2, 3, 3, 0)",202.19,3.95,6.04,8.0,0.24,0
0.1,"(2, 4, 3, 0)",177.82,5.51,5.42,8.0,0.32,0
0.2,"(3, 5, 4, 1)",79.12,13.18,3.37,8.0,0.58,0
0.3,"(3, 5, 4, 1)",79.12,13.18,3.37,8.0,0.58,0
0.4,"(4, 5, 4, 1)",73.14,15.98,2.85,8.0,0.64,0
0.5,"(4, 6, 5, 1)",61.28,22.52,1.82,8.0,0.77,0
0.6,"(4, 6, 5, 2)",41.61,25.3,1.5,8.0,0.81,0
0.7,"(5, 6, 6, 2)",42.3,32.62,0.86,8.0,0.89,0
0.8,"(5, 7, 6, 3)",42.54,40.19,0.43,8.0,0.95,0
0.9,"(6, 7, 7, 3)",49.44,48.07,0.18,8.0,0.98,0
0.95,"(6, 8, 7, 4)",56.19,56.01,0.07,8.0,0.99,0
0.99,"(7, 8, 8, 5)",68.01,68.0,0.01,8.0,1.0,0
0.999,"(8, 8, 8, 6)",76.0,76.0,0.0,8.0,1.0,0
