α,BaseStock,AvgTotalCost,AvgInvLvl,AvgStockout,AvgDemand,β,TotalCount
0.05,"(4, 7, 5, 1)",366.09,16.73,8.23,14.0,0.41,0
0.1,"(5, 8, 6, 1)",288.37,25.92,6.46,14.0,0.54,0
0.2,"(5, 8, 7, 2)",203.26,32.49,5.48,14.0,0.61,0
0.3,"(6, 9, 7, 2)",175.86,41.05,4.34,14.0,0.69,0
0.4,"(7, 9, 8, 2)",153.78,51.0,3.34,14.0,0.76,0
0.5,"(7, 10, 8, 3)",117.63,61.34,2.46,14.0,0.82,0
0.6,"(7, 10, 9, 3)",111.51,67.18,2.06,14.0,0.85,0
0.7,"(8, 11, 9, 4)",103.89,85.68,1.13,14.0,0.92,0
0.8,"(9, 11, 10, 4)",109.73,98.83,0.68,14.0,0.95,0
0.9,"(9, 12, 11, 5)",122.17,119.26,0.28,14.0,0.98,0
0.95,"(10, 12, 11, 5)",128.45,126.15,0.19,14.0,0.99,0
0.99,"(11, 13, 12, 7)",161.08,161.0,0.02,14.0,1.0,0
0.999,"(12, 14, 13, 8)",189.0,188.99,0.0,14.0,1.0,0
