α,BaseStock,AvgTotalCost,AvgTotalInvLvl,AvgTotalStockout,AvgTotalDemand,β,AvgInvCost,AvgBkCost,AvgLSCost,AvgProdCost,AvgPowderCost,AvgInvLvl,AvgBkLvl,AvgLsLvl,TotalCount
0.05,"(3, 6, 4, 0)",135.22,35.14,2.56,12.0,0.79,"(6.85, 12.15, 10.53, 5.62)","(3.15, 0.04, 0.97, 4.83)","(1.44, 0.0, 0.13, 0.1)",89.42,0.0,"(6.85, 12.15, 10.53, 5.62)","(0.63, 0.0, 0.06, 0.24)","(0.03, 0.0, 0.0, 0.0)",733741
0.1,"(4, 6, 5, 1)",121.2,39.44,2.17,12.0,0.82,"(8.34, 12.15, 12.12, 6.84)","(2.04, 0.04, 0.26, 3.92)","(0.42, 0.0, 0.0, 0.08)",75.01,0.0,"(8.34, 12.15, 12.12, 6.84)","(0.41, 0.0, 0.02, 0.2)","(0.01, 0.0, 0.0, 0.0)",305927
0.2,"(5, 7, 6, 1)",104.61,45.27,1.7,12.0,0.86,"(10.32, 14.13, 13.98, 6.84)","(1.29, 0.0, 0.02, 3.92)","(0.05, 0.0, 0.0, 0.08)",53.98,0.0,"(10.32, 14.13, 13.98, 6.84)","(0.26, 0.0, 0.0, 0.2)","(0.0, 0.0, 0.0, 0.0)",296697
0.3,"(5, 8, 6, 2)",96.24,49.72,1.48,12.0,0.88,"(10.32, 16.81, 13.98, 8.61)","(1.29, 0.0, 0.02, 2.47)","(0.05, 0.0, 0.0, 0.04)",42.65,0.0,"(10.32, 16.81, 13.98, 8.61)","(0.26, 0.0, 0.0, 0.12)","(0.0, 0.0, 0.0, 0.0)",109153
0.4,"(6, 8, 7, 2)",90.66,55.15,1.16,12.0,0.9,"(13.25, 16.81, 16.49, 8.61)","(0.79, 0.0, 0.0, 2.47)","(0.0, 0.0, 0.0, 0.04)",32.22,0.0,"(13.25, 16.81, 16.49, 8.61)","(0.16, 0.0, 0.0, 0.12)","(0.0, 0.0, 0.0, 0.0)",105616
0.5,"(6, 8, 7, 2)",90.66,55.15,1.16,12.0,0.9,"(13.25, 16.81, 16.49, 8.61)","(0.79, 0.0, 0.0, 2.47)","(0.0, 0.0, 0.0, 0.04)",32.22,0.0,"(13.25, 16.81, 16.49, 8.61)","(0.16, 0.0, 0.0, 0.12)","(0.0, 0.0, 0.0, 0.0)",105616
0.6,"(6, 9, 8, 3)",86.01,64.53,0.85,12.0,0.93,"(13.25, 20.39, 19.9, 10.99)","(0.79, 0.0, 0.0, 1.26)","(0.0, 0.0, 0.0, 0.01)",19.42,0.0,"(13.25, 20.39, 19.9, 10.99)","(0.16, 0.0, 0.0, 0.06)","(0.0, 0.0, 0.0, 0.0)",37515
0.7,"(7, 9, 8, 3)",85.77,68.69,0.65,12.0,0.95,"(17.41, 20.39, 19.9, 10.99)","(0.41, 0.0, 0.0, 1.26)","(0.0, 0.0, 0.0, 0.01)",15.4,0.0,"(17.41, 20.39, 19.9, 10.99)","(0.08, 0.0, 0.0, 0.06)","(0.0, 0.0, 0.0, 0.0)",36959
0.8,"(7, 10, 9, 4)",89.84,81.7,0.4,12.0,0.97,"(17.41, 25.05, 24.37, 14.88)","(0.41, 0.0, 0.0, 0.49)","(0.0, 0.0, 0.0, 0.0)",7.24,0.0,"(17.41, 25.05, 24.37, 14.88)","(0.08, 0.0, 0.0, 0.02)","(0.0, 0.0, 0.0, 0.0)",8429
0.9,"(8, 10, 9, 4)",93.12,86.95,0.26,12.0,0.98,"(22.66, 25.05, 24.37, 14.88)","(0.14, 0.0, 0.0, 0.49)","(0.0, 0.0, 0.0, 0.0)",5.54,0.0,"(22.66, 25.05, 24.37, 14.88)","(0.03, 0.0, 0.0, 0.02)","(0.0, 0.0, 0.0, 0.0)",8364
0.95,"(9, 11, 10, 5)",110.13,108.67,0.07,12.0,0.99,"(28.48, 30.46, 29.67, 20.05)","(0.03, 0.0, 0.0, 0.14)","(0.0, 0.0, 0.0, 0.0)",1.29,0.0,"(28.48, 30.46, 29.67, 20.05)","(0.01, 0.0, 0.0, 0.01)","(0.0, 0.0, 0.0, 0.0)",952
0.99,"(10, 12, 11, 6)",132.21,132.06,0.01,12.0,1.0,"(34.46, 36.31, 35.45, 25.83)","(0.0, 0.0, 0.0, 0.03)","(0.0, 0.0, 0.0, 0.0)",0.12,0.0,"(34.46, 36.31, 35.45, 25.83)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",75
0.999,"(11, 12, 12, 7)",149.99,149.98,0.0,12.0,1.0,"(40.46, 36.31, 41.42, 31.79)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0.01,0.0,"(40.46, 36.31, 41.42, 31.79)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0
