α,BaseStock,AvgTotalCost,AvgTotalInvLvl,AvgTotalStockout,AvgTotalDemand,β,AvgInvCost,AvgBkCost,AvgLSCost,AvgProdCost,AvgPowderCost,AvgInvLvl,AvgBkLvl,AvgLsLvl,TotalCount
0.05,"(3, 6, 4, 0)",72.05,41.61,1.9,12.0,0.84,"(8.66, 13.83, 12.44, 6.68)","(2.07, 0.68, 0.36, 3.55)","(0.21, 0.0, 0.0, 0.0)",5.36,18.21,"(8.66, 13.83, 12.44, 6.68)","(0.41, 0.07, 0.02, 0.18)","(0.0, 0.0, 0.0, 0.0)",779430
0.1,"(4, 6, 5, 1)",71.28,44.58,1.73,12.0,0.86,"(9.83, 13.63, 13.65, 7.47)","(1.57, 0.79, 0.19, 3.18)","(0.04, 0.0, 0.0, 0.0)",4.76,16.17,"(9.83, 13.63, 13.65, 7.47)","(0.31, 0.08, 0.01, 0.16)","(0.0, 0.0, 0.0, 0.0)",393048
0.2,"(5, 7, 6, 1)",71.46,48.43,1.48,12.0,0.88,"(11.25, 15.0, 15.09, 7.09)","(1.19, 0.56, 0.08, 3.74)","(0.0, 0.0, 0.0, 0.0)",4.13,13.33,"(11.25, 15.0, 15.09, 7.09)","(0.24, 0.06, 0.01, 0.19)","(0.0, 0.0, 0.0, 0.0)",340929
0.3,"(5, 8, 6, 2)",70.85,51.69,1.36,12.0,0.89,"(11.0, 17.1, 14.92, 8.67)","(1.36, 0.43, 0.07, 2.49)","(0.0, 0.0, 0.0, 0.0)",3.6,11.22,"(11.0, 17.1, 14.92, 8.67)","(0.27, 0.04, 0.0, 0.12)","(0.0, 0.0, 0.0, 0.0)",116314
0.4,"(6, 8, 7, 2)",71.93,55.95,1.13,12.0,0.91,"(13.64, 16.83, 16.98, 8.49)","(0.83, 0.55, 0.04, 2.6)","(0.0, 0.0, 0.0, 0.0)",2.97,8.99,"(13.64, 16.83, 16.98, 8.49)","(0.17, 0.06, 0.0, 0.13)","(0.0, 0.0, 0.0, 0.0)",104789
0.5,"(6, 8, 7, 2)",71.93,55.95,1.13,12.0,0.91,"(13.64, 16.83, 16.98, 8.49)","(0.83, 0.55, 0.04, 2.6)","(0.0, 0.0, 0.0, 0.0)",2.97,8.99,"(13.64, 16.83, 16.98, 8.49)","(0.17, 0.06, 0.0, 0.13)","(0.0, 0.0, 0.0, 0.0)",104789
0.6,"(6, 9, 8, 3)",74.17,64.06,0.89,12.0,0.93,"(13.39, 19.89, 19.94, 10.84)","(0.98, 0.4, 0.01, 1.35)","(0.0, 0.0, 0.0, 0.0)",1.84,5.53,"(13.39, 19.89, 19.94, 10.84)","(0.2, 0.04, 0.0, 0.07)","(0.0, 0.0, 0.0, 0.0)",37825
0.7,"(7, 9, 8, 3)",75.9,67.85,0.71,12.0,0.94,"(17.48, 19.7, 19.85, 10.81)","(0.45, 0.46, 0.01, 1.35)","(0.0, 0.0, 0.0, 0.0)",1.56,4.22,"(17.48, 19.7, 19.85, 10.81)","(0.09, 0.05, 0.0, 0.07)","(0.0, 0.0, 0.0, 0.0)",36456
0.8,"(7, 10, 9, 4)",84.37,80.7,0.44,12.0,0.96,"(17.39, 24.45, 24.12, 14.74)","(0.5, 0.15, 0.0, 0.55)","(0.0, 0.0, 0.0, 0.0)",0.65,1.82,"(17.39, 24.45, 24.12, 14.74)","(0.1, 0.02, 0.0, 0.03)","(0.0, 0.0, 0.0, 0.0)",8079
0.9,"(8, 10, 9, 4)",88.36,85.88,0.3,12.0,0.98,"(22.66, 24.4, 24.09, 14.74)","(0.15, 0.16, 0.0, 0.55)","(0.0, 0.0, 0.0, 0.0)",0.49,1.12,"(22.66, 24.4, 24.09, 14.74)","(0.03, 0.02, 0.0, 0.03)","(0.0, 0.0, 0.0, 0.0)",8083
0.95,"(9, 11, 10, 5)",108.76,108.28,0.07,12.0,0.99,"(28.48, 30.31, 29.5, 19.99)","(0.03, 0.0, 0.0, 0.17)","(0.0, 0.0, 0.0, 0.0)",0.09,0.19,"(28.48, 30.31, 29.5, 19.99)","(0.01, 0.0, 0.0, 0.01)","(0.0, 0.0, 0.0, 0.0)",996
0.99,"(10, 12, 11, 6)",132.07,132.01,0.01,12.0,1.0,"(34.46, 36.31, 35.42, 25.82)","(0.0, 0.0, 0.0, 0.03)","(0.0, 0.0, 0.0, 0.0)",0.01,0.02,"(34.46, 36.31, 35.42, 25.82)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",74
0.999,"(11, 12, 12, 7)",149.99,149.98,0.0,12.0,1.0,"(40.46, 36.31, 41.42, 31.79)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0.0,0.0,"(40.46, 36.31, 41.42, 31.79)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0
