α,BaseStock,AvgTotalCost,AvgTotalInvLvl,AvgTotalStockout,AvgTotalDemand,β,AvgInvCost,AvgBkCost,AvgLSCost,AvgProdCost,AvgPowderCost,AvgInvLvl,AvgBkLvl,AvgLsLvl,TotalCount
0.05,"(2, 5, 3, 0)",75.81,36.74,0.97,10.0,0.9,"(8.76, 12.39, 11.85, 3.73)","(0.75, 0.15, 0.52, 1.82)","(0.0, 0.0, 0.0, 0.0)",7.96,27.87,"(8.76, 12.39, 11.85, 3.73)","(0.15, 0.02, 0.03, 0.09)","(0.0, 0.0, 0.0, 0.0)",798585
0.1,"(3, 5, 4, 0)",74.63,38.16,0.88,10.0,0.91,"(9.71, 12.14, 12.58, 3.72)","(0.61, 0.22, 0.21, 1.87)","(0.0, 0.0, 0.0, 0.0)",7.55,26.0,"(9.71, 12.14, 12.58, 3.72)","(0.12, 0.02, 0.01, 0.09)","(0.0, 0.0, 0.0, 0.0)",750498
0.2,"(4, 6, 5, 1)",68.3,40.83,0.83,10.0,0.92,"(10.49, 12.68, 13.15, 4.51)","(0.51, 0.28, 0.1, 3.28)","(0.0, 0.0, 0.0, 0.0)",5.03,18.28,"(10.49, 12.68, 13.15, 4.51)","(0.1, 0.03, 0.01, 0.16)","(0.0, 0.0, 0.0, 0.0)",170968
0.3,"(4, 6, 5, 1)",68.3,40.83,0.83,10.0,0.92,"(10.49, 12.68, 13.15, 4.51)","(0.51, 0.28, 0.1, 3.28)","(0.0, 0.0, 0.0, 0.0)",5.03,18.28,"(10.49, 12.68, 13.15, 4.51)","(0.1, 0.03, 0.01, 0.16)","(0.0, 0.0, 0.0, 0.0)",170831
0.4,"(5, 7, 6, 2)",63.35,44.66,0.72,10.0,0.93,"(11.53, 13.52, 13.35, 6.25)","(0.49, 0.41, 0.13, 1.94)","(0.0, 0.0, 0.0, 0.0)",3.51,12.22,"(11.53, 13.52, 13.35, 6.25)","(0.1, 0.04, 0.01, 0.1)","(0.0, 0.0, 0.0, 0.0)",62194
0.5,"(5, 7, 6, 2)",63.35,44.66,0.72,10.0,0.93,"(11.53, 13.52, 13.35, 6.25)","(0.49, 0.41, 0.13, 1.94)","(0.0, 0.0, 0.0, 0.0)",3.51,12.21,"(11.53, 13.52, 13.35, 6.25)","(0.1, 0.04, 0.01, 0.1)","(0.0, 0.0, 0.0, 0.0)",62195
0.6,"(5, 7, 6, 2)",63.35,44.66,0.72,10.0,0.93,"(11.53, 13.52, 13.35, 6.25)","(0.49, 0.41, 0.13, 1.94)","(0.0, 0.0, 0.0, 0.0)",3.51,12.21,"(11.53, 13.52, 13.35, 6.25)","(0.1, 0.04, 0.01, 0.1)","(0.0, 0.0, 0.0, 0.0)",62190
0.7,"(6, 8, 7, 3)",64.14,54.68,0.43,10.0,0.96,"(14.09, 16.18, 15.31, 9.1)","(0.28, 0.26, 0.07, 0.93)","(0.0, 0.0, 0.0, 0.0)",1.84,6.09,"(14.09, 16.18, 15.31, 9.1)","(0.06, 0.03, 0.0, 0.05)","(0.0, 0.0, 0.0, 0.0)",13052
0.8,"(6, 8, 7, 3)",64.14,54.68,0.43,10.0,0.96,"(14.09, 16.18, 15.31, 9.1)","(0.28, 0.26, 0.07, 0.93)","(0.0, 0.0, 0.0, 0.0)",1.84,6.09,"(14.09, 16.18, 15.31, 9.1)","(0.06, 0.03, 0.0, 0.05)","(0.0, 0.0, 0.0, 0.0)",13052
0.9,"(7, 9, 8, 4)",74.44,71.09,0.12,10.0,0.99,"(18.12, 20.53, 19.2, 13.23)","(0.07, 0.0, 0.01, 0.29)","(0.0, 0.0, 0.0, 0.0)",0.68,2.31,"(18.12, 20.53, 19.2, 13.23)","(0.01, 0.0, 0.0, 0.01)","(0.0, 0.0, 0.0, 0.0)",1804
0.95,"(8, 9, 8, 4)",77.23,75.6,0.1,10.0,0.99,"(22.63, 20.53, 19.2, 13.23)","(0.01, 0.0, 0.0, 0.29)","(0.0, 0.0, 0.0, 0.0)",0.35,0.98,"(22.63, 20.53, 19.2, 13.23)","(0.0, 0.0, 0.0, 0.01)","(0.0, 0.0, 0.0, 0.0)",1777
0.99,"(9, 10, 9, 5)",95.25,95.05,0.01,10.0,1.0,"(27.5, 25.51, 24.02, 18.03)","(0.0, 0.0, 0.0, 0.06)","(0.0, 0.0, 0.0, 0.0)",0.03,0.11,"(27.5, 25.51, 24.02, 18.03)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",108
0.999,"(9, 10, 10, 6)",105.12,105.02,0.0,10.0,1.0,"(27.5, 25.51, 29.02, 22.99)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0.02,0.08,"(27.5, 25.51, 29.02, 22.99)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0
