α,BaseStock,AvgTotalCost,AvgInvLvl,AvgStockout,AvgDemand,β,TotalCount
0.05,"(2, 5, 3, 0)",301.52,6.32,7.18,10.0,0.28,0
0.1,"(3, 5, 4, 0)",244.69,9.55,6.09,10.0,0.39,0
0.2,"(4, 6, 5, 1)",127.22,18.78,4.04,10.0,0.6,0
0.3,"(4, 6, 5, 1)",127.22,18.78,4.04,10.0,0.6,0
0.4,"(5, 7, 6, 2)",69.11,32.87,2.09,10.0,0.79,0
0.5,"(5, 7, 6, 2)",69.11,32.87,2.09,10.0,0.79,0
0.6,"(5, 7, 6, 2)",69.11,32.87,2.09,10.0,0.79,0
0.7,"(6, 8, 7, 3)",58.7,50.61,0.78,10.0,0.92,0
0.8,"(6, 8, 7, 3)",58.7,50.61,0.78,10.0,0.92,0
0.9,"(7, 9, 8, 4)",71.23,70.08,0.19,10.0,0.98,0
0.95,"(8, 9, 8, 4)",76.04,75.05,0.13,10.0,0.99,0
0.99,"(9, 10, 9, 5)",95.1,95.0,0.01,10.0,1.0,0
0.999,"(9, 10, 10, 6)",105.0,104.99,0.0,10.0,1.0,0
