α,BaseStock,AvgTotalCost,AvgTotalInvLvl,AvgTotalStockout,AvgTotalDemand,β,AvgInvCost,AvgBkCost,AvgLSCost,AvgProdCost,AvgPowderCost,AvgInvLvl,AvgBkLvl,AvgLsLvl,TotalCount
0.05,"(2, 5, 3, 0)",119.45,25.52,2.54,10.0,0.75,"(4.39, 9.08, 7.58, 4.46)","(4.3, 0.1, 1.73, 4.48)","(2.96, 0.0, 0.29, 0.09)",79.98,0.0,"(4.39, 9.08, 7.58, 4.46)","(0.86, 0.01, 0.12, 0.22)","(0.06, 0.0, 0.01, 0.0)",724442
0.1,"(3, 5, 4, 0)",105.65,28.25,2.17,10.0,0.78,"(5.71, 9.08, 8.99, 4.46)","(2.64, 0.1, 0.55, 4.48)","(1.1, 0.0, 0.0, 0.09)",68.44,0.0,"(5.71, 9.08, 8.99, 4.46)","(0.53, 0.01, 0.04, 0.22)","(0.02, 0.0, 0.0, 0.0)",714129
0.2,"(4, 6, 5, 1)",85.7,34.41,1.6,10.0,0.84,"(7.26, 10.8, 10.52, 5.84)","(1.44, 0.0, 0.07, 3.49)","(0.17, 0.0, 0.0, 0.07)",46.05,0.0,"(7.26, 10.8, 10.52, 5.84)","(0.29, 0.0, 0.0, 0.17)","(0.0, 0.0, 0.0, 0.0)",305648
0.3,"(4, 6, 5, 1)",85.7,34.41,1.6,10.0,0.84,"(7.26, 10.8, 10.52, 5.84)","(1.44, 0.0, 0.07, 3.49)","(0.17, 0.0, 0.0, 0.07)",46.05,0.0,"(7.26, 10.8, 10.52, 5.84)","(0.29, 0.0, 0.0, 0.17)","(0.0, 0.0, 0.0, 0.0)",305648
0.4,"(5, 7, 6, 2)",69.76,42.41,1.04,10.0,0.9,"(9.53, 13.08, 12.53, 7.27)","(0.8, 0.0, 0.0, 1.95)","(0.0, 0.0, 0.0, 0.03)",24.58,0.0,"(9.53, 13.08, 12.53, 7.27)","(0.16, 0.0, 0.0, 0.1)","(0.0, 0.0, 0.0, 0.0)",106599
0.5,"(5, 7, 6, 2)",69.76,42.41,1.04,10.0,0.9,"(9.53, 13.08, 12.53, 7.27)","(0.8, 0.0, 0.0, 1.95)","(0.0, 0.0, 0.0, 0.03)",24.58,0.0,"(9.53, 13.08, 12.53, 7.27)","(0.16, 0.0, 0.0, 0.1)","(0.0, 0.0, 0.0, 0.0)",106599
0.6,"(5, 7, 6, 2)",69.76,42.41,1.04,10.0,0.9,"(9.53, 13.08, 12.53, 7.27)","(0.8, 0.0, 0.0, 1.95)","(0.0, 0.0, 0.0, 0.03)",24.58,0.0,"(9.53, 13.08, 12.53, 7.27)","(0.16, 0.0, 0.0, 0.1)","(0.0, 0.0, 0.0, 0.0)",106599
0.7,"(6, 8, 7, 3)",65.68,54.63,0.5,10.0,0.95,"(13.02, 16.52, 15.5, 9.58)","(0.36, 0.0, 0.0, 0.82)","(0.0, 0.0, 0.0, 0.01)",9.87,0.0,"(13.02, 16.52, 15.5, 9.58)","(0.07, 0.0, 0.0, 0.04)","(0.0, 0.0, 0.0, 0.0)",28315
0.8,"(6, 8, 7, 3)",65.68,54.63,0.5,10.0,0.95,"(13.02, 16.52, 15.5, 9.58)","(0.36, 0.0, 0.0, 0.82)","(0.0, 0.0, 0.0, 0.01)",9.87,0.0,"(13.02, 16.52, 15.5, 9.58)","(0.07, 0.0, 0.0, 0.04)","(0.0, 0.0, 0.0, 0.0)",28315
0.9,"(7, 9, 8, 4)",74.06,71.15,0.15,10.0,0.98,"(17.54, 20.76, 19.48, 13.38)","(0.09, 0.0, 0.0, 0.23)","(0.0, 0.0, 0.0, 0.0)",2.58,0.0,"(17.54, 20.76, 19.48, 13.38)","(0.02, 0.0, 0.0, 0.01)","(0.0, 0.0, 0.0, 0.0)",3965
0.95,"(8, 9, 8, 4)",78.76,76.09,0.1,10.0,0.99,"(22.48, 20.76, 19.48, 13.38)","(0.01, 0.0, 0.0, 0.23)","(0.0, 0.0, 0.0, 0.0)",2.43,0.0,"(22.48, 20.76, 19.48, 13.38)","(0.0, 0.0, 0.0, 0.01)","(0.0, 0.0, 0.0, 0.0)",3965
0.99,"(9, 10, 9, 5)",95.43,95.13,0.01,10.0,1.0,"(27.47, 25.51, 24.09, 18.05)","(0.0, 0.0, 0.0, 0.04)","(0.0, 0.0, 0.0, 0.0)",0.26,0.0,"(27.47, 25.51, 24.09, 18.05)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",289
0.999,"(9, 10, 10, 6)",105.02,105.0,0.0,10.0,1.0,"(27.47, 25.51, 29.02, 23.0)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0.01,0.0,"(27.47, 25.51, 29.02, 23.0)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0
