α,BaseStock,AvgTotalCost,AvgTotalInvLvl,AvgTotalStockout,AvgTotalDemand,β,AvgInvCost,AvgBkCost,AvgLSCost,AvgProdCost,AvgPowderCost,AvgInvLvl,AvgBkLvl,AvgLsLvl,TotalCount
0.05,"(2, 3, 3, 0)",64.11,20.74,2.26,8.0,0.72,"(4.12, 6.44, 6.96, 3.22)","(2.99, 2.59, 1.06, 5.73)","(1.14, 0.11, 0.0, 0.03)",7.48,22.25,"(4.12, 6.44, 6.96, 3.22)","(0.6, 0.26, 0.07, 0.29)","(0.02, 0.0, 0.0, 0.0)",636510
0.1,"(2, 4, 3, 0)",60.42,21.32,2.18,8.0,0.73,"(4.17, 6.79, 6.99, 3.37)","(2.84, 1.99, 0.92, 5.24)","(0.92, 0.05, 0.0, 0.01)",6.96,20.16,"(4.17, 6.79, 6.99, 3.37)","(0.57, 0.2, 0.06, 0.26)","(0.02, 0.0, 0.0, 0.0)",646105
0.2,"(3, 5, 4, 1)",47.95,23.86,1.8,8.0,0.78,"(4.77, 7.05, 7.76, 4.28)","(1.96, 1.76, 0.21, 3.6)","(0.31, 0.0, 0.0, 0.0)",4.32,11.92,"(4.77, 7.05, 7.76, 4.28)","(0.39, 0.18, 0.01, 0.18)","(0.01, 0.0, 0.0, 0.0)",295704
0.3,"(3, 5, 4, 1)",47.95,23.86,1.8,8.0,0.78,"(4.77, 7.05, 7.76, 4.28)","(1.96, 1.76, 0.21, 3.6)","(0.31, 0.0, 0.0, 0.0)",4.32,11.92,"(4.77, 7.05, 7.76, 4.28)","(0.39, 0.18, 0.01, 0.18)","(0.01, 0.0, 0.0, 0.0)",295704
0.4,"(4, 5, 4, 1)",45.14,25.06,1.56,8.0,0.8,"(6.22, 7.09, 7.78, 3.97)","(1.07, 1.7, 0.16, 3.99)","(0.17, 0.0, 0.0, 0.0)",3.66,9.33,"(6.22, 7.09, 7.78, 3.97)","(0.21, 0.17, 0.01, 0.2)","(0.0, 0.0, 0.0, 0.0)",244922
0.5,"(4, 6, 5, 1)",41.49,27.69,1.23,8.0,0.85,"(6.23, 8.69, 8.89, 3.88)","(1.04, 0.82, 0.09, 4.1)","(0.13, 0.0, 0.0, 0.0)",2.28,5.33,"(6.23, 8.69, 8.89, 3.88)","(0.21, 0.08, 0.01, 0.21)","(0.0, 0.0, 0.0, 0.0)",219406
0.6,"(4, 6, 5, 2)",38.96,29.06,1.11,8.0,0.86,"(6.24, 8.69, 8.91, 5.22)","(1.03, 0.82, 0.05, 1.95)","(0.11, 0.0, 0.0, 0.0)",1.71,4.22,"(6.24, 8.69, 8.91, 5.22)","(0.21, 0.08, 0.0, 0.1)","(0.0, 0.0, 0.0, 0.0)",65677
0.7,"(5, 6, 6, 2)",39.86,34.25,0.74,8.0,0.91,"(9.19, 8.69, 11.22, 5.16)","(0.31, 0.82, 0.01, 2.0)","(0.01, 0.0, 0.0, 0.0)",0.77,1.68,"(9.19, 8.69, 11.22, 5.16)","(0.06, 0.08, 0.0, 0.1)","(0.0, 0.0, 0.0, 0.0)",52554
0.8,"(5, 7, 6, 3)",43.22,40.95,0.37,8.0,0.95,"(9.19, 12.6, 11.22, 7.94)","(0.31, 0.0, 0.0, 0.56)","(0.01, 0.0, 0.0, 0.0)",0.42,0.97,"(9.19, 12.6, 11.22, 7.94)","(0.06, 0.0, 0.0, 0.03)","(0.0, 0.0, 0.0, 0.0)",7320
0.9,"(6, 7, 7, 3)",49.37,48.35,0.17,8.0,0.98,"(13.0, 12.6, 14.81, 7.94)","(0.04, 0.0, 0.0, 0.56)","(0.0, 0.0, 0.0, 0.0)",0.14,0.28,"(13.0, 12.6, 14.81, 7.94)","(0.01, 0.0, 0.0, 0.03)","(0.0, 0.0, 0.0, 0.0)",7320
0.95,"(6, 8, 7, 4)",56.24,56.05,0.07,8.0,0.99,"(13.0, 16.6, 14.81, 11.64)","(0.04, 0.0, 0.0, 0.09)","(0.0, 0.0, 0.0, 0.0)",0.02,0.04,"(13.0, 16.6, 14.81, 11.64)","(0.01, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",427
0.99,"(7, 8, 8, 5)",68.01,68.0,0.01,8.0,1.0,"(16.99, 16.6, 18.81, 15.6)","(0.0, 0.0, 0.0, 0.01)","(0.0, 0.0, 0.0, 0.0)",0.0,0.0,"(16.99, 16.6, 18.81, 15.6)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0
0.999,"(8, 8, 8, 6)",76.0,76.0,0.0,8.0,1.0,"(20.99, 16.6, 18.81, 19.59)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0.0,0.0,"(20.99, 16.6, 18.81, 19.59)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0
