α,BaseStock,AvgTotalCost,AvgTotalInvLvl,AvgTotalStockout,AvgTotalDemand,β,AvgInvCost,AvgBkCost,AvgLSCost,AvgProdCost,AvgPowderCost,AvgInvLvl,AvgBkLvl,AvgLsLvl,TotalCount
0.05,"(2, 3, 3, 0)",57.93,24.93,1.04,8.0,0.87,"(7.22, 7.06, 7.67, 2.98)","(0.51, 0.78, 0.4, 1.66)","(0.0, 0.0, 0.0, 0.0)",6.51,23.15,"(7.22, 7.06, 7.67, 2.98)","(0.1, 0.08, 0.03, 0.08)","(0.0, 0.0, 0.0, 0.0)",783958
0.1,"(2, 4, 3, 0)",56.95,25.33,1.0,8.0,0.88,"(7.0, 7.81, 7.57, 2.96)","(0.63, 0.43, 0.43, 1.76)","(0.0, 0.0, 0.0, 0.0)",6.29,22.08,"(7.0, 7.81, 7.57, 2.96)","(0.13, 0.04, 0.03, 0.09)","(0.0, 0.0, 0.0, 0.0)",773620
0.2,"(3, 5, 4, 1)",50.76,27.71,0.91,8.0,0.89,"(7.44, 8.35, 8.23, 3.69)","(0.61, 0.41, 0.19, 2.87)","(0.0, 0.0, 0.0, 0.0)",4.06,14.9,"(7.44, 8.35, 8.23, 3.69)","(0.12, 0.04, 0.01, 0.14)","(0.0, 0.0, 0.0, 0.0)",212751
0.3,"(3, 5, 4, 1)",50.77,27.71,0.91,8.0,0.89,"(7.44, 8.35, 8.23, 3.69)","(0.61, 0.41, 0.19, 2.87)","(0.0, 0.0, 0.0, 0.0)",4.06,14.9,"(7.44, 8.35, 8.23, 3.69)","(0.12, 0.04, 0.01, 0.14)","(0.0, 0.0, 0.0, 0.0)",212732
0.4,"(4, 5, 4, 1)",50.44,28.93,0.8,8.0,0.9,"(8.66, 8.32, 8.28, 3.68)","(0.31, 0.46, 0.14, 2.94)","(0.0, 0.0, 0.0, 0.0)",3.89,13.78,"(8.66, 8.32, 8.28, 3.68)","(0.06, 0.05, 0.01, 0.15)","(0.0, 0.0, 0.0, 0.0)",188853
0.5,"(4, 6, 5, 1)",48.15,30.57,0.78,8.0,0.9,"(7.99, 9.85, 9.19, 3.54)","(0.49, 0.33, 0.16, 3.44)","(0.0, 0.0, 0.0, 0.0)",2.97,10.19,"(7.99, 9.85, 9.19, 3.54)","(0.1, 0.03, 0.01, 0.17)","(0.0, 0.0, 0.0, 0.0)",167073
0.6,"(4, 6, 5, 2)",46.45,31.81,0.71,8.0,0.91,"(7.78, 9.79, 9.02, 5.23)","(0.55, 0.39, 0.21, 1.59)","(0.0, 0.0, 0.0, 0.0)",2.63,9.27,"(7.78, 9.79, 9.02, 5.23)","(0.11, 0.04, 0.01, 0.08)","(0.0, 0.0, 0.0, 0.0)",63305
0.7,"(5, 6, 6, 2)",45.92,35.95,0.55,8.0,0.93,"(10.02, 9.51, 11.3, 5.12)","(0.2, 0.53, 0.03, 1.84)","(0.0, 0.0, 0.0, 0.0)",1.64,5.73,"(10.02, 9.51, 11.3, 5.12)","(0.04, 0.05, 0.0, 0.09)","(0.0, 0.0, 0.0, 0.0)",48370
0.8,"(5, 7, 6, 3)",48.55,41.99,0.27,8.0,0.97,"(10.11, 12.69, 11.23, 7.96)","(0.2, 0.0, 0.05, 0.53)","(0.0, 0.0, 0.0, 0.0)",1.29,4.49,"(10.11, 12.69, 11.23, 7.96)","(0.04, 0.0, 0.0, 0.03)","(0.0, 0.0, 0.0, 0.0)",8196
0.9,"(6, 7, 7, 3)",51.52,48.73,0.14,8.0,0.98,"(13.37, 12.62, 14.82, 7.93)","(0.03, 0.0, 0.0, 0.56)","(0.0, 0.0, 0.0, 0.0)",0.49,1.71,"(13.37, 12.62, 14.82, 7.93)","(0.01, 0.0, 0.0, 0.03)","(0.0, 0.0, 0.0, 0.0)",6748
0.95,"(6, 8, 7, 4)",58.68,56.47,0.04,8.0,1.0,"(13.42, 16.6, 14.81, 11.64)","(0.03, 0.0, 0.0, 0.09)","(0.0, 0.0, 0.0, 0.0)",0.43,1.67,"(13.42, 16.6, 14.81, 11.64)","(0.01, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",427
0.99,"(7, 8, 8, 5)",68.45,68.07,0.0,8.0,1.0,"(17.06, 16.6, 18.81, 15.6)","(0.0, 0.0, 0.0, 0.01)","(0.0, 0.0, 0.0, 0.0)",0.07,0.3,"(17.06, 16.6, 18.81, 15.6)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0
0.999,"(8, 8, 8, 6)",76.0,76.0,0.0,8.0,1.0,"(20.99, 16.6, 18.81, 19.59)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0.0,0.0,"(20.99, 16.6, 18.81, 19.59)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0
