α,BaseStock,AvgTotalCost,AvgTotalInvLvl,AvgTotalStockout,AvgTotalDemand,β,AvgInvCost,AvgBkCost,AvgLSCost,AvgProdCost,AvgPowderCost,AvgInvLvl,AvgBkLvl,AvgLsLvl,TotalCount
0.05,"(4, 7, 5, 1)",103.48,67.56,0.87,14.0,0.94,"(16.97, 21.12, 20.21, 9.26)","(0.52, 0.48, 0.29, 2.24)","(0.0, 0.0, 0.0, 0.0)",6.8,25.59,"(16.97, 21.12, 20.21, 9.26)","(0.1, 0.05, 0.02, 0.11)","(0.0, 0.0, 0.0, 0.0)",435200
0.1,"(5, 8, 6, 1)",102.89,70.32,0.79,14.0,0.94,"(18.11, 22.03, 20.98, 9.21)","(0.45, 0.44, 0.14, 2.28)","(0.0, 0.0, 0.0, 0.0)",6.25,23.0,"(18.11, 22.03, 20.98, 9.21)","(0.09, 0.04, 0.01, 0.11)","(0.0, 0.0, 0.0, 0.0)",415098
0.2,"(5, 8, 7, 2)",101.97,71.94,0.74,14.0,0.95,"(17.78, 21.76, 21.71, 10.69)","(0.5, 0.41, 0.11, 1.77)","(0.0, 0.0, 0.0, 0.0)",5.76,21.47,"(17.78, 21.76, 21.71, 10.69)","(0.1, 0.04, 0.01, 0.09)","(0.0, 0.0, 0.0, 0.0)",128063
0.3,"(6, 9, 7, 2)",101.15,74.07,0.71,14.0,0.95,"(19.04, 23.2, 21.35, 10.48)","(0.47, 0.36, 0.11, 1.83)","(0.0, 0.0, 0.0, 0.0)",5.31,19.0,"(19.04, 23.2, 21.35, 10.48)","(0.09, 0.04, 0.01, 0.09)","(0.0, 0.0, 0.0, 0.0)",116840
0.4,"(7, 9, 8, 2)",100.92,76.89,0.69,14.0,0.95,"(21.04, 22.79, 22.84, 10.23)","(0.39, 0.42, 0.09, 1.92)","(0.0, 0.0, 0.0, 0.0)",4.71,16.5,"(21.04, 22.79, 22.84, 10.23)","(0.08, 0.04, 0.01, 0.1)","(0.0, 0.0, 0.0, 0.0)",105913
0.5,"(7, 10, 8, 3)",100.4,80.59,0.63,14.0,0.96,"(20.62, 25.37, 22.34, 12.27)","(0.47, 0.33, 0.12, 1.33)","(0.0, 0.0, 0.0, 0.0)",3.97,13.58,"(20.62, 25.37, 22.34, 12.27)","(0.09, 0.03, 0.01, 0.07)","(0.0, 0.0, 0.0, 0.0)",41891
0.6,"(7, 10, 9, 3)",101.3,82.94,0.65,14.0,0.95,"(20.33, 25.14, 25.27, 12.21)","(0.55, 0.4, 0.09, 1.4)","(0.0, 0.0, 0.0, 0.0)",3.54,12.39,"(20.33, 25.14, 25.27, 12.21)","(0.11, 0.04, 0.01, 0.07)","(0.0, 0.0, 0.0, 0.0)",40264
0.7,"(8, 11, 9, 4)",106.23,94.39,0.44,14.0,0.97,"(24.04, 29.41, 24.93, 16.01)","(0.35, 0.24, 0.07, 0.77)","(0.0, 0.0, 0.0, 0.0)",2.47,7.93,"(24.04, 29.41, 24.93, 16.01)","(0.07, 0.02, 0.0, 0.04)","(0.0, 0.0, 0.0, 0.0)",10297
0.8,"(9, 11, 10, 4)",111.95,103.94,0.34,14.0,0.98,"(29.26, 29.23, 29.48, 15.97)","(0.15, 0.29, 0.02, 0.82)","(0.0, 0.0, 0.0, 0.0)",1.62,5.1,"(29.26, 29.23, 29.48, 15.97)","(0.03, 0.03, 0.0, 0.04)","(0.0, 0.0, 0.0, 0.0)",9933
0.9,"(9, 12, 11, 5)",126.11,121.41,0.17,14.0,0.99,"(29.3, 35.19, 35.35, 21.57)","(0.16, 0.08, 0.01, 0.34)","(0.0, 0.0, 0.0, 0.0)",0.92,3.19,"(29.3, 35.19, 35.35, 21.57)","(0.03, 0.01, 0.0, 0.02)","(0.0, 0.0, 0.0, 0.0)",1656
0.95,"(10, 12, 11, 5)",130.34,127.53,0.13,14.0,0.99,"(35.44, 35.18, 35.35, 21.56)","(0.04, 0.08, 0.0, 0.35)","(0.0, 0.0, 0.0, 0.0)",0.57,1.76,"(35.44, 35.18, 35.35, 21.56)","(0.01, 0.01, 0.0, 0.02)","(0.0, 0.0, 0.0, 0.0)",1646
0.99,"(11, 13, 12, 7)",161.69,161.18,0.02,14.0,1.0,"(42.09, 42.01, 42.07, 35.01)","(0.01, 0.0, 0.0, 0.02)","(0.0, 0.0, 0.0, 0.0)",0.1,0.37,"(42.09, 42.01, 42.07, 35.01)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",2
0.999,"(12, 14, 13, 8)",189.09,189.02,0.0,14.0,1.0,"(48.98, 49.01, 49.04, 41.99)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0.01,0.06,"(48.98, 49.01, 49.04, 41.99)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0
