α,BaseStock,AvgTotalCost,AvgInvLvl,AvgStockout,AvgDemand,β,TotalCount
0.05,"(1, 2, 2, 0)",138.85,1.53,5.14,6.0,0.14,0
0.1,"(1, 3, 2, 0)",117.66,2.71,4.55,6.0,0.24,0
0.2,"(2, 3, 3, 0)",82.64,5.34,3.56,6.0,0.41,0
0.3,"(2, 4, 3, 1)",41.95,8.7,2.65,6.0,0.56,0
0.4,"(3, 4, 3, 1)",36.47,10.73,2.13,6.0,0.64,0
0.5,"(3, 4, 4, 1)",30.87,13.2,1.62,6.0,0.73,0
0.6,"(3, 5, 4, 1)",32.02,16.03,1.2,6.0,0.8,0
0.7,"(4, 5, 4, 2)",24.59,21.21,0.63,6.0,0.9,0
0.8,"(4, 5, 5, 2)",26.35,24.13,0.4,6.0,0.93,0
0.9,"(5, 6, 5, 2)",32.17,30.1,0.17,6.0,0.97,0
0.95,"(5, 6, 5, 3)",33.18,33.0,0.08,6.0,0.99,0
0.99,"(6, 6, 6, 4)",42.0,42.0,0.0,6.0,1.0,0
0.999,"(6, 6, 6, 5)",45.0,45.0,0.0,6.0,1.0,0
