α,BaseStock,AvgTotalCost,AvgTotalInvLvl,AvgTotalStockout,AvgTotalDemand,β,AvgInvCost,AvgBkCost,AvgLSCost,AvgProdCost,AvgPowderCost,AvgInvLvl,AvgBkLvl,AvgLsLvl,TotalCount
0.05,"(2, 3, 3, 0)",47.59,23.12,1.57,8.0,0.8,"(4.7, 6.6, 7.51, 4.31)","(1.55, 1.01, 0.3, 2.41)","(0.26, 0.0, 0.0, 0.0)",4.15,14.77,"(4.7, 6.6, 7.51, 4.31)","(0.31, 0.1, 0.02, 0.12)","(0.01, 0.0, 0.0, 0.0)",783160
0.1,"(2, 4, 3, 0)",46.77,23.58,1.52,8.0,0.81,"(4.63, 7.45, 7.44, 4.06)","(1.7, 0.44, 0.3, 2.81)","(0.26, 0.0, 0.0, 0.0)",3.99,13.71,"(4.63, 7.45, 7.44, 4.06)","(0.34, 0.04, 0.02, 0.14)","(0.01, 0.0, 0.0, 0.0)",753647
0.2,"(3, 5, 4, 1)",43.64,25.93,1.32,8.0,0.84,"(5.26, 8.21, 8.2, 4.27)","(1.29, 0.47, 0.06, 2.8)","(0.0, 0.0, 0.0, 0.0)",3.09,10.0,"(5.26, 8.21, 8.2, 4.27)","(0.26, 0.05, 0.0, 0.14)","(0.0, 0.0, 0.0, 0.0)",275792
0.3,"(3, 5, 4, 1)",43.64,25.93,1.32,8.0,0.84,"(5.26, 8.21, 8.2, 4.27)","(1.29, 0.47, 0.06, 2.8)","(0.0, 0.0, 0.0, 0.0)",3.09,10.0,"(5.26, 8.21, 8.2, 4.27)","(0.26, 0.05, 0.0, 0.14)","(0.0, 0.0, 0.0, 0.0)",275792
0.4,"(4, 5, 4, 1)",42.7,26.91,1.18,8.0,0.85,"(6.71, 7.97, 8.08, 4.15)","(0.66, 0.63, 0.09, 2.97)","(0.0, 0.0, 0.0, 0.0)",2.84,8.6,"(6.71, 7.97, 8.08, 4.15)","(0.13, 0.06, 0.01, 0.15)","(0.0, 0.0, 0.0, 0.0)",245456
0.5,"(4, 6, 5, 1)",41.39,29.05,1.03,8.0,0.87,"(6.44, 9.46, 9.23, 3.92)","(0.83, 0.29, 0.02, 3.6)","(0.0, 0.0, 0.0, 0.0)",2.04,5.57,"(6.44, 9.46, 9.23, 3.92)","(0.17, 0.03, 0.0, 0.18)","(0.0, 0.0, 0.0, 0.0)",212663
0.6,"(4, 6, 5, 2)",39.32,30.22,0.95,8.0,0.88,"(6.4, 9.36, 9.12, 5.33)","(0.86, 0.38, 0.02, 1.65)","(0.0, 0.0, 0.0, 0.0)",1.62,4.58,"(6.4, 9.36, 9.12, 5.33)","(0.17, 0.04, 0.0, 0.08)","(0.0, 0.0, 0.0, 0.0)",67509
0.7,"(5, 6, 6, 2)",40.54,34.86,0.67,8.0,0.92,"(9.22, 9.06, 11.34, 5.25)","(0.29, 0.52, 0.0, 1.83)","(0.0, 0.0, 0.0, 0.0)",0.84,2.2,"(9.22, 9.06, 11.34, 5.25)","(0.06, 0.05, 0.0, 0.09)","(0.0, 0.0, 0.0, 0.0)",56062
0.8,"(5, 7, 6, 3)",43.22,41.01,0.37,8.0,0.95,"(9.2, 12.61, 11.25, 7.95)","(0.3, 0.0, 0.0, 0.54)","(0.0, 0.0, 0.0, 0.0)",0.41,0.96,"(9.2, 12.61, 11.25, 7.95)","(0.06, 0.0, 0.0, 0.03)","(0.0, 0.0, 0.0, 0.0)",7712
0.9,"(6, 7, 7, 3)",49.38,48.36,0.17,8.0,0.98,"(13.0, 12.6, 14.82, 7.94)","(0.04, 0.0, 0.0, 0.56)","(0.0, 0.0, 0.0, 0.0)",0.14,0.28,"(13.0, 12.6, 14.82, 7.94)","(0.01, 0.0, 0.0, 0.03)","(0.0, 0.0, 0.0, 0.0)",7320
0.95,"(6, 8, 7, 4)",56.24,56.05,0.07,8.0,0.99,"(13.0, 16.6, 14.81, 11.64)","(0.04, 0.0, 0.0, 0.09)","(0.0, 0.0, 0.0, 0.0)",0.02,0.04,"(13.0, 16.6, 14.81, 11.64)","(0.01, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",427
0.99,"(7, 8, 8, 5)",68.01,68.0,0.01,8.0,1.0,"(16.99, 16.6, 18.81, 15.6)","(0.0, 0.0, 0.0, 0.01)","(0.0, 0.0, 0.0, 0.0)",0.0,0.0,"(16.99, 16.6, 18.81, 15.6)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0
0.999,"(8, 8, 8, 6)",76.0,76.0,0.0,8.0,1.0,"(20.99, 16.6, 18.81, 19.59)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0.0,0.0,"(20.99, 16.6, 18.81, 19.59)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0
